"","pc1_loadings","pc2_loadings","cartex_200gene"
"CFLAR",0.0466446362586468,-0.0339931227842659,"no"
"TFPI",0.0430280322442397,-0.00134212157716554,"no"
"THSD7A",0.0447715102907098,-0.0343842730617578,"no"
"AGK",0.0364178220780345,-0.06921391328183,"no"
"IDS",0.0449888858018015,0.0313248322097291,"no"
"IGF1",0.0434967015464364,-0.035540641615997,"yes"
"HGF",0.0304380658081837,0.0441673164264561,"no"
"RUNX3",0.0293920043508698,0.0409749274459958,"no"
"AGPAT4",0.0319567765215726,0.0255036101159127,"no"
"SH2D2A",0.0473488165310563,-0.0087463920259634,"no"
"ANK1",0.0440236823090861,-0.000316335249778451,"no"
"RNF19A",0.0438225613244778,-0.0135855069328744,"yes"
"DAPK2",0.0363714632173708,0.017646932871142,"yes"
"RAI14",0.0438710864290949,-0.014059639846367,"no"
"BARX2",0.0464036894443505,0.00118309744873053,"yes"
"CTNNA1",0.039728404856385,-0.0541480866563747,"no"
"SCML1",0.0362292185669742,-0.0335021226271828,"no"
"RRM2B",0.0439182294008822,-0.0200925703135123,"no"
"COL9A2",0.0459072182144909,-0.02839773480711,"yes"
"TNFRSF9",0.0393843820748238,-0.0107976788312199,"yes"
"LIMA1",0.0380299298108528,0.0616604842237691,"no"
"TNIP3",0.0465920010778626,-0.0170567750998057,"yes"
"BCAR1",0.0295382170741643,0.00592079117874631,"no"
"HERPUD1",0.0457038093692881,-0.0228061623719487,"no"
"PIK3CB",0.0367804528572158,-0.0348475177506158,"no"
"NNAT",0.0396874930824957,-0.0139470132112101,"no"
"ATP9A",0.0472081522928469,-0.02465963119149,"yes"
"TMCC3",0.0390041662959749,0.0564131994737926,"no"
"CAMK2B",0.0443199462341734,-0.0312094057925225,"no"
"CTDP1",0.0378385130653998,0.0496019608664866,"no"
"PTPRU",0.0437734662682333,-0.00379028964400285,"no"
"BCAT1",0.0456366238842833,-0.0281761580129815,"yes"
"MTHFD2",0.0430321150480416,-0.0541556324385844,"no"
"TIE1",0.0485729848514135,-0.0176317538870778,"yes"
"KLF6",0.0157863672111656,0.0972989977368876,"no"
"EVI5",0.0365628432150017,-0.0702952009635064,"yes"
"ACSL4",0.0365978142890827,-0.0720558579980436,"no"
"PTPN3",0.0485605738112603,-0.0167342043188439,"yes"
"ING3",0.0467221124774649,0.0332390497056166,"yes"
"VASH1",0.0410897811950372,-0.00742257883348766,"no"
"LMCD1",0.0381461529990025,-0.0502342945105417,"yes"
"CYBRD1",0.0390820304391929,-0.0361105864645896,"no"
"PVR",0.0417054567246282,-0.0406775772692872,"no"
"TP63",0.0470234965236931,0.00370744599732389,"yes"
"PTGS2",0.044338350459259,0.00338836382652224,"yes"
"EED",0.0420347641707429,-0.0331760463898907,"no"
"NUAK1",0.0381267805404867,0.0715288264402205,"no"
"LMAN1",0.0411870881864021,-0.0574284347902207,"no"
"PLD1",0.0417477970222323,-0.0397083777893564,"no"
"TRAF4",0.0338008197633601,-0.0214411343973971,"no"
"GPC4",0.0401730692261199,-0.0389608643855954,"no"
"NFKB2",0.0366807798372361,0.0297984217129016,"no"
"TP73",0.0279745938314632,0.0504097562422339,"no"
"MOXD1",0.0338026398531306,0.0756497773589063,"no"
"ARG2",0.0404159463611907,0.0101941044381224,"no"
"MEF2C",0.0431177144147805,0.00669361173938756,"no"
"PHLPP1",0.0430609051775996,-0.0394821557277996,"no"
"IL12RB2",0.0475157520046205,-0.0162653263225953,"no"
"HAL",0.0176457135233564,-0.033477223982874,"no"
"COL16A1",0.0360560692264089,-0.00386178779384395,"no"
"CD82",0.0401059882680293,-0.0288833358313469,"no"
"ABCB1",0.0441322175755904,0.00146560539090708,"no"
"CTTN",0.0458766380869023,-0.032024509138099,"yes"
"PPP1R15A",0.0368341099958957,0.0795197445506654,"no"
"NOP14",0.043370189271769,-0.0169145000902515,"no"
"RFX2",0.0442230770495156,-0.00434314671173336,"no"
"EPB41L1",0.0370825073325529,0.00369300838725165,"no"
"KIF9",0.0310350884399344,0.0753295121521279,"no"
"SMOX",0.0424042395154818,-0.0159785063706213,"no"
"CPXM1",0.0362402858334926,-0.0427435227862875,"no"
"LAG3",0.0406524982661529,-0.054596924472695,"no"
"RGS1",0.0257913013460109,0.090345983703835,"yes"
"ICAM1",0.0432739792361303,-0.00782779124986092,"no"
"MYH7",0.0466756434342674,-0.0321365087307902,"no"
"EPB41L4B",0.0448836255079181,-0.0420174861513152,"no"
"PTGS1",0.0456770281748586,-0.03402335109205,"yes"
"HIVEP1",0.0397713443165519,0.0123827308074578,"no"
"CARD10",0.0391529556489718,-0.00929562261971708,"no"
"KDELR3",0.0409976472443025,-0.0313973438503101,"no"
"CBY1",0.0176208236498281,-0.0245615931126126,"no"
"HMOX1",0.0457066715313023,0.039014449642868,"yes"
"RASD2",0.0399951302342658,0.0585578908044486,"no"
"APOL4",0.0300385156751691,-0.0572734398170774,"no"
"GZMB",0.0441844842162875,-0.0407914917259923,"yes"
"COCH",0.0422032199086527,-0.0120115013605038,"no"
"SIX4",0.042851722287721,-0.0300211585948902,"no"
"SUSD6",0.0421363605197788,0.0169079213265129,"no"
"CPNE6",0.0354187412593059,0.0513266010677496,"no"
"NFKBIA",0.0444959361051484,0.0277377962845113,"no"
"MMP9",0.0195660822418709,0.0754579620355136,"no"
"SALL4",0.0416171084514283,-0.00300080122837493,"no"
"DOK5",0.0459764049919579,-0.036043434746634,"yes"
"PPP1R16B",0.0405094926271507,0.0271981705310844,"no"
"MAP1LC3A",0.0452184013833316,0.0121621683923538,"yes"
"ADNP2",0.040830282072023,0.0122585783051728,"no"
"SMAD7",0.028246997568228,0.0568780553268885,"no"
"PLS3",0.0476366855617195,-0.01634012036818,"yes"
"PHEX",0.0394105942348992,-0.0422385818776618,"yes"
"RGCC",0.0451118469403981,0.0482075078881444,"yes"
"ZNF629",0.0435076709458738,-0.0135430302275952,"no"
"CCL22",0.044251047420952,0.0222298575520077,"yes"
"IL21R",0.0474410441561047,0.00183238608744234,"no"
"CTSH",0.0393268290759301,0.000737393568092096,"yes"
"CD276",0.0406372907127283,0.0293195498661858,"no"
"EHD4",0.0408606361197879,0.0343831796313664,"no"
"ATP8B4",0.0425392507223943,-0.0238656685354177,"no"
"BMF",0.0440992869759117,0.0108021335941047,"yes"
"SPAG1",0.0418473496989842,-0.0501626552809701,"no"
"NCALD",0.0467528234359113,-0.0219918411665807,"yes"
"SQLE",0.0434457143414946,-0.0158976598787693,"no"
"SH2D4A",0.0264625434001013,-0.0596246145949436,"no"
"SLC39A14",0.0454195627296909,-0.0144166677048466,"yes"
"KIR3DX1",0.0392604187559005,0.0280591554089456,"yes"
"LILRB1",0.0460046475430066,0.0196667678805031,"no"
"DYRK1B",0.0286918854855544,0.0574299079006207,"no"
"EBI3",0.0448515563833389,-0.0332614493651546,"yes"
"OVOL3",0.0257618245148268,0.0481644755764344,"no"
"DENND3",0.0412568580945713,-0.0386149981592736,"no"
"PLA2G4C",0.038966010631717,-0.0111068332149449,"yes"
"SCN1B",0.0304357293927296,0.058560072687989,"no"
"CDK6",0.0408208297058742,-0.0517942061089587,"no"
"NAMPT",0.0412118971441385,0.0334343445911913,"no"
"PON3",0.0430450372689441,-0.0077020933640931,"no"
"PON2",0.0427105884480941,-0.0388587487095637,"no"
"PTN",0.0393734721035555,-0.0309893581050158,"no"
"RNF32",0.0364231397081022,0.0280304358767183,"no"
"AGFG2",0.040303776334427,-0.0679178062877699,"no"
"SERPINE1",0.0297305122191434,0.0880648550371275,"yes"
"MEST",0.0442552137176447,0.0106089401880437,"yes"
"NCS1",0.0372433561728191,-0.0651291374577848,"no"
"PIP5K1B",0.0461588372259821,-0.0214485169368388,"yes"
"SHB",0.041198349038454,-0.00246996851702972,"no"
"MAPK8",0.0447256133988309,-0.0333410519406255,"no"
"CCDC6",0.0480448643080244,-0.0290726223127476,"yes"
"ZMIZ1",0.0418857853776433,-0.00379020655781446,"no"
"DNAJC12",0.0409232514725993,-0.0569637871754079,"yes"
"HOXB6",0.03942873259933,0.0320453384645904,"no"
"SYNGR2",0.0433718507716417,-0.0387533754564203,"no"
"HLF",0.042892484659605,-0.0225573444795998,"yes"
"IFT20",0.0329371685809275,0.0661889073044547,"no"
"NMU",0.0400506361774574,0.049552617450904,"no"
"KIAA1211",0.041121846828415,0.0126941654268387,"no"
"AREG",0.035447701311327,0.0636521880871174,"yes"
"CRYAB",0.0366442248418975,0.0271363816874638,"yes"
"CRTAM",0.0421264963163114,0.041872333260798,"yes"
"POU2AF1",0.0441518915630479,-0.0160229302462037,"yes"
"CYP27B1",0.032275423031678,-0.0407110227108492,"no"
"LIN7A",0.0438400866744524,0.0169114347754749,"no"
"TNS2",0.0371561080298904,-0.0459931251322807,"no"
"VDR",0.0451115150773633,-0.0416343037626206,"yes"
"ADGRD1",0.046209965285439,-0.0227585673009261,"yes"
"IL26",0.0425354579325123,-0.00049857229108015,"yes"
"IFNG",0.0437502392870289,0.0266628264783489,"yes"
"UHRF1BP1L",0.0472295004509394,-0.000619458163215688,"no"
"SASH1",0.0331428241899153,0.0088114814440561,"no"
"SIM1",0.0428972210427258,0.0125789636252211,"no"
"BVES",0.0440897455703211,-0.014467378190338,"no"
"FAM46A",0.0403654713654042,0.00428157746493001,"no"
"HMGCS1",0.0409455332479709,0.0189060241269667,"no"
"GZMK",0.0241984829101105,0.0254072757756867,"no"
"APBB3",0.020726940277518,0.037976234972207,"no"
"BTNL8",0.0457382592952789,-0.0184878452487148,"yes"
"SEC24A",0.035298263778743,-0.0447706156176524,"no"
"COL7A1",0.0417731276455245,-0.00214139117324368,"no"
"TNNC1",0.0319055151158678,0.0320569547995638,"no"
"IL1A",0.0451779160064238,-0.0186818346290227,"yes"
"FN1",0.0402489506361413,0.0192198497599119,"no"
"GNLY",0.0482428946782336,-0.0135311173769659,"yes"
"QPCT",0.0327732411219535,0.0321837999515252,"no"
"RAB3GAP1",0.0414203893430883,-0.0453477646549992,"no"
"EPAS1",0.0464663442482703,-0.00654787890196273,"yes"
"QSOX1",0.0420524187160502,-0.0253147237415736,"no"
"KIAA1324",0.0454965666974268,-0.000597867243671557,"no"
"RNF19B",0.04728833423312,0.0316105525155541,"yes"
"DOCK7",0.0440226496833922,0.00382761787824988,"no"
"PLA2G4A",0.0417617091796288,-0.0244021155482082,"no"
"WLS",0.0446910447978599,0.00328732714562725,"yes"
"RGS2",0.0411044261278575,0.0632670155889822,"yes"
"NID1",0.0347620827360249,-0.0252240051339276,"no"
"ECE1",0.0363142187936626,-0.0681991997025553,"no"
"FASLG",0.0451347850284992,0.0166996890638108,"no"
"TNNT2",0.0339692313148364,0.0435610490459933,"yes"
"TNFAIP3",0.0425374358926712,-0.00353426533751712,"yes"
"RAB32",0.0410410538363919,0.0273406777969524,"yes"
"SPP1",0.0316380926710447,0.0525762619573688,"no"
"ELL2",0.0482442239290991,-0.0155721870914737,"yes"
"DNAH7",0.0188411087099316,0.0235667821034157,"no"
"C1orf198",0.047097512516531,-0.0169366493387647,"no"
"NR4A3",0.0238960143213676,0.0327233179390233,"yes"
"IRF2BPL",0.0301694348189116,0.00258333639454739,"no"
"MLH3",0.0381689532058104,-0.0475129473117331,"no"
"FLVCR2",0.0282852408336549,0.030677833389571,"no"
"IFIT3",0.0268787647319328,0.0240811222493508,"no"
"TCTN3",0.0433070811194084,0.0273485610351311,"no"
"GORAB",0.0305781339288717,0.0696697668193,"no"
"KIAA1217",0.041179077070755,-0.0276520596290352,"no"
"DUSP4",0.0421694392084369,0.0263700625267254,"yes"
"TNFRSF10B",0.0424098038885174,-0.044719206947528,"no"
"RDH10",0.0471051442289671,0.0163165466563684,"yes"
"EPX",0.0341811417632424,-0.00992705363221662,"no"
"TRIM25",0.0330198946054665,-0.05664455897528,"no"
"SCPEP1",0.0340233380307203,-0.0243315278061932,"no"
"DEPDC7",0.0428818336281043,0.0406575585982468,"no"
"ZSCAN20",0.0446028671950417,-0.00490072563498477,"no"
"LRRC39",0.0185309712157041,-0.0125400834077279,"no"
"INHBA",0.041215389227563,0.0578829461510111,"no"
"TWIST1",0.0420686821703487,0.013940028127775,"yes"
"SRGN",0.0464748220008038,-0.00521530907378617,"no"
"EGR2",0.0332177682273246,0.0629595844819217,"yes"
"NR4A1",0.0181381547653,0.0393881555252961,"yes"
"BATF3",0.038908868113383,-0.0652973386607563,"yes"
"G0S2",0.044929200382676,-0.0268716511419394,"yes"
"RAB38",0.0449942910898617,0.023519479781247,"no"
"SDC4",0.0428683841951863,0.00473328429467086,"no"
"MATN4",0.0372046473433482,-0.047869594877497,"no"
"PMEPA1",0.0299531531091266,0.0681180901177952,"no"
"RBPJL",0.0299709435010642,-0.0503452225856827,"no"
"STAMBP",0.0443841509173802,-0.0338950760948548,"no"
"CDKN1A",0.0326510653350074,-0.0280713681594453,"no"
"SOX4",0.0455358130793228,-0.008503695768715,"yes"
"RUNX2",0.0468516463706267,-0.024980131236205,"no"
"MT2A",0.0469660141692006,0.00575100539998548,"yes"
"TNFSF9",0.0381843716379767,0.0171131852983537,"no"
"CD70",0.0398303966809566,-0.0547675780889009,"no"
"C3",0.0456940911830509,-0.0238681082390498,"yes"
"FOSB",0.0284614499227798,0.0879728065138236,"yes"
"PLAGL2",0.0450957820406847,-0.010821833342426,"no"
"IGFLR1",0.0356891217892044,0.0143474266294034,"no"
"RGS13",0.0239276360578172,0.0732629640352547,"no"
"HIVEP3",0.0401306124221592,-0.00254702531263984,"no"
"SYNGR3",0.0442102690174667,-0.0409137795389003,"yes"
"GNAI1",0.0467501055304768,-0.0160555439401827,"yes"
"C22orf23",0.0328664841557456,-0.0170104433178222,"no"
"DNAJB9",0.0327788594904136,0.0639438864142444,"no"
"CSRP3",0.0295771692082745,0.0447151682305754,"no"
"MTUS1",0.0429410204258546,-0.0155049736453739,"no"
"HEATR5A",0.0422365774795029,-0.0288979672789409,"no"
"AANAT",0.0260020546460563,0.085402319964242,"no"
"STARD8",0.0457033524051916,-0.0384824487685265,"no"
"KIF1A",0.0189162275373698,-0.0578067414800584,"no"
"SNX9",0.0429169452080636,0.0445387878752916,"yes"
"ZSWIM6",0.0473789550673083,-0.0318458117345699,"no"
"HELZ2",0.0296131123052439,0.0274004846244373,"no"
"SAMD10",0.0397917863707848,-0.063406685295805,"no"
"ZNF331",0.0331905891882219,0.0802128604757582,"no"
"PDLIM4",0.0460705421762846,-0.0294171373551506,"yes"
"NINJ1",0.0404316493175862,0.0206620642199559,"no"
"ZNF132",0.0292290141036654,0.0769847059767379,"no"
"PPARG",0.0464708611144997,0.00847233737770839,"yes"
"RAMP1",0.0351299003366914,0.00296566339444291,"yes"
"KDM6B",0.0356158538841086,0.053269700002814,"yes"
"REEP2",0.0434998962771372,-0.0557673131810525,"yes"
"SNAP25",0.0475962140257871,-0.022769921229313,"yes"
"SLC41A1",0.0364393139075765,-0.0689079516408634,"no"
"CCNA1",0.0372401240128483,-0.0587652789837014,"no"
"IRS4",0.0449671087498075,0.0118570489065927,"no"
"MICALCL",0.0438225752915951,-0.0247722645097108,"yes"
"MICAL2",0.0470862894246703,-0.0122145541525112,"no"
"CAMK1",0.0442379673042749,-0.0555503828719557,"no"
"SPIRE1",0.0386013373770378,-0.0586976816804517,"no"
"FST",0.0419398415237963,0.0361233113700928,"no"
"IL2RA",0.0419387102888835,-0.0561225366480567,"yes"
"CABLES1",0.034996048494896,-0.0199426422098681,"yes"
"EMP1",0.041961069941619,0.0206773790180927,"yes"
"KLRD1",0.0461970089269449,0.022086351003274,"yes"
"KLRC1",0.0461940414184957,-0.0338344909103104,"yes"
"MYBPC3",0.0332626095823654,0.0432421675386731,"no"
"GOLM1",0.0400702819698661,0.00549476831578584,"no"
"CCNJL",0.0429715027648128,-0.0180168568873965,"no"
"AHI1",0.0442765017310412,-0.00520447161220535,"yes"
"EGR4",0.027197746092345,0.0979460216439262,"no"
"EMX1",0.0322874440877845,-0.0341043503673323,"no"
"KCNK1",0.0272931898111695,0.0279320155575959,"no"
"RNASEL",0.0427687920668738,-0.0300346046363888,"no"
"ARMC9",0.0367769109408266,-0.057357696167137,"no"
"SLC41A2",0.0462382314689633,-0.00703642192629759,"yes"
"SPRY2",0.0435943331016852,-0.00616115291604836,"no"
"TNS3",0.0464122715661141,0.00050292905083236,"yes"
"HLX",0.0390459253123604,-0.0162832506829412,"yes"
"IL36G",0.0294469768307884,-0.0370079813149649,"no"
"STAM",0.0392122936885119,-0.0352165793624219,"no"
"KLF4",0.0353945020921252,0.0743010553229794,"yes"
"TINAG",0.0316238434267262,0.0398122220722609,"no"
"MYO7A",0.0394702280411375,0.00179101032869036,"no"
"RAB30",0.0232103549448301,0.0862600393801907,"no"
"FXYD6",0.0431883270219714,-0.0185240598534358,"yes"
"SQOR",0.0403978782178511,-0.0440880977479029,"no"
"CYP1B1",0.0401819136443693,0.00542712083321296,"yes"
"MYOF",0.0333998219353006,-0.0535895260068033,"no"
"DUSP5",0.0474881839172335,0.00378717069667702,"yes"
"ARL3",0.0426841815951885,-0.0522982131497928,"no"
"ENTPD1",0.0468868729421109,-0.0174226121350702,"no"
"ZNF365",0.0358138066083965,0.0732926349263485,"no"
"NAB1",0.0479040282194985,-0.0171087885799586,"no"
"HECW2",0.0425561292896455,-0.024343857001036,"no"
"SHF",0.0473825075884805,-0.000486536286708141,"yes"
"RASGEF1B",0.0383577671506485,0.061946144413565,"yes"
"FGF2",0.0421922282389201,0.0176408385081949,"no"
"RGS3",0.0426607916357953,-0.00804500251446932,"no"
"GABARAPL1",0.0351736449726564,0.0276379126583855,"no"
"KIF21A",0.0348158664739721,-0.061202845612815,"no"
"CPNE8",0.0432443047128196,0.0333102162056382,"no"
"PIANP",0.0320050135364851,0.0422778661405971,"no"
"PHLDA1",0.0449045756472411,0.0295323666175443,"no"
"SUOX",0.03998497806313,-0.035953066467449,"no"
"MBNL2",0.0475375503868302,0.0102522355439574,"no"
"FRMD6",0.0455065431670501,-0.0135570139478914,"no"
"C14orf79",0.025893277973751,0.0730801694141315,"no"
"DUOXA1",0.0326593476078569,0.00298140850317134,"no"
"TLE3",0.0382959985766877,0.0222039326868842,"no"
"TPM1",0.0362128731432469,0.0279650653621866,"yes"
"MCTP2",0.0481391002523498,-0.0181057032682979,"no"
"ITGAX",0.0398233828573589,-0.0418801721665877,"no"
"KSR1",0.0419656523534505,-0.0490369829574137,"no"
"SECTM1",0.0285870417588653,0.00742560408754126,"yes"
